bwt_month,bwt_day,bwt_hour,cv_time_avg,xcv_time_avg,pv_time_avg,xpv_time_avg,pv_ready_lanes_time_avg,ped_time_avg,ped_ready_lanes_time_avg
3,1,18,0,0,31,10,26,5,0
3,1,19,0,0,29,9,22,6,0
3,1,20,0,0,29,8,20,5,0
3,1,21,0,0,31,7,16,5,0
3,1,22,0,0,14,5,7,5,0
3,1,23,0,0,12,4,8,5,4
3,2,0,0,0,10,5,6,5,4
3,2,1,0,0,11,5,8,5,4
3,2,2,0,0,15,5,11,5,4
3,2,3,0,0,20,5,16,5,4
3,2,4,0,0,28,6,20,6,5
3,2,5,0,0,38,14,29,10,6
3,2,6,0,0,45,13,33,21,15
3,2,7,0,0,41,15,33,18,6
3,2,8,0,0,41,13,34,14,8
3,2,9,0,0,40,10,35,14,8
3,2,10,0,0,35,10,34,13,6
3,2,11,0,0,40,13,36,15,8
3,2,12,0,0,45,9,39,14,5
3,2,13,0,0,50,9,43,10,4
3,2,14,0,0,53,9,45,6,1
3,2,15,0,0,44,9,31,6,1
3,2,16,0,0,36,8,25,5,1
3,2,17,0,0,29,6,23,5,1
3,2,18,0,0,28,6,21,6,1
3,2,19,0,0,26,6,19,8,1
3,2,20,0,0,25,8,19,8,1
3,2,21,0,0,21,6,15,5,1
3,2,22,0,0,23,5,12,5,0
3,2,23,0,0,21,5,19,5,3
3,3,0,0,0,15,21,10,5,2
3,3,1,0,0,9,4,6,5,3
3,3,2,0,0,10,5,8,5,3
3,3,3,0,0,15,5,14,5,3
3,3,4,0,0,30,6,24,8,4
3,3,5,0,0,40,9,31,13,8
3,3,6,0,0,49,14,40,13,5
3,3,7,0,0,43,11,36,10,3
3,3,8,0,0,44,10,39,11,3
3,3,9,0,0,38,9,34,13,3
3,3,10,0,0,39,11,33,11,3
3,3,11,0,0,43,10,34,13,3
3,3,12,0,0,51,15,40,13,3
3,3,13,0,0,56,15,49,14,3
3,3,14,0,0,58,30,33,11,3
3,3,15,0,0,53,10,45,9,3
3,3,16,0,0,46,9,38,6,3
3,3,17,0,0,36,8,28,9,3
3,3,18,0,0,24,6,18,9,4
3,3,19,0,0,19,6,16,8,3
3,3,20,0,0,19,10,18,5,3
3,3,21,0,0,18,8,15,5,3
3,3,22,0,0,14,6,13,5,3
3,3,23,0,0,13,5,9,5,3
3,4,0,0,0,13,5,8,5,3
3,4,1,0,0,10,5,6,5,3
3,4,2,0,0,18,5,14,5,3
3,4,3,0,0,23,5,18,5,3
3,4,4,0,0,31,6,25,8,4
3,4,5,0,0,36,6,28,4,3
3,4,6,0,0,41,9,31,9,3
3,4,7,0,0,45,10,33,13,0
3,4,8,0,0,43,10,35,14,0
3,4,9,0,0,40,10,35,14,0
3,4,10,0,0,35,10,29,13,0
